Visual area V3d,0
Visual area V3v,0
Brodmann area 6D,0
Brodmann area 6Dc,0
Brodmann area 6Dr,0
Brodmann area 6V,0
Brodmann area 6Vb,0
"Periamygdaloid cortex, area 1",0
"Periamygdaloid cortex, area 2",0
"Periamygdaloid cortex, area 3",0
Ventral intraparietal area,0
"Ventral intraparietal area, lateral part",0
"Ventral interparietal area, medial part",0
Lateral intraparietal area,0
"Lateral intraparietal area, dorsal part",0
"Lateral intraparial area, ventral part",0
Brodmann area 8d,0
Brodmann area 8v,0
Prestriate cortex,0
Anterior mediodorsal thalamic nucleus,0
"Nucleus medialis dorsalis, pars densocellularis",0
Caudal ventral premotor cortex,0
Rostral ventral premotor cortex,0
Ventral medial geniculate thalamic nucleus,0
Area POa,0
Area POa-e,0
Area POa-i,0
Inferior pulvinar nucleus,0
Lateral pulvinar nucleus,0
Superficial pulvinar,0
Intergeniculate pulvinar,0
Diffuse pulvinar,0
Middle temporal area,0
Cortical amygdaloid nucleus,0
Anterior cortial amygdaloid nucleus,0
Posterior cortical amygdaloid nucleus,0
Medial amygdaloid nuclear group,0
Medial amygdaloid nucleus,0
Brodmann area 28i,0
Brodmann areas 1/2,0
Ventrolateral anterior thalamic nucleus,0
Area X,1
Brodmann area 6Va,0
Caudal field of enthorinal cortex,0
Cerebellar cortex,10
Cerebral white matter,3
Cerebrallar white matter,0
Ventricular system,8
Lateral ventrical,0
Inferior lateral ventricle,0
Third ventricle,28
Fourth ventricle,9
Operculum,53
Frontal operculum,10
Opercular part of inferior frontal gyrus,0
Rolandic operculum,0
Area triangularis,0
Orbital part of inferior frontal gyrus,0
Lateral surface of frontal lobe,0
Orbital surface of frontal lobe,0
Olfactory cortex,0
"Superior frontal gyrus, orbital part",0
"Superior frontal gyrus, medial orbital part",0
"Middle frontal gyrus, lateral part",0
"Middle frontal gyrus, orbital part",0
"superior frontal gyrus, medial part",0
Anterior lobe of cerebellum,0
Posterior lobe of cerebellum,0
Lobus flocculonodularis,0
Cerebellar nucleus,1
Cerebellar hemisphere,4
Hemisphere of anterior lobe,0
Hemisphere of posterior lobe,0
Vermis of anterior lobe,0
Vermis of posterior lobe,0
"Lobule I, II of vermis",0
Lobule III of vermis,0
"Lobule IV, V of vermis",0
Lobule VI of vermis,0
Lobule VII of vermis,0
Lobule VIII of vermis,0
Lobule IX of vermis,0
Lobule X of vermis (nodulus),0
Lobule III of cerebellar hemisphere,0
"Lobule IV, V of cerebellar hemisphere",0
Lobule VI of cerebellar hemisphere,0
Crus I of cerebellar hemisphere,0
Crus II of cerebellar hemisphere,0
Lobule VIIB of cerebellar hemisphere,0
Lobule VIII of cerebellar hemisphere,0
Lobule IX of cerebellar hemisphere,0
Lobule X of cerebellar hemisphere (flocculus),0
Parietal operculum,36
Rostral premotor,0
Caudal premotor,0
"Supplementary motor area proper and pre-supplementary motor
    area",0
Orbitofrontal cortex,60
Middle and inferior frontal gyri,0
sensorimotor area,4
